"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2021-04-29,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-04-30,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-02,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Isfahan, district,, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-05-02,1,,1,,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-04-24,1,,,1,,"Southern, Asia","Mixed, or, unknown","Afghanistan, to, Iran","Unspecified, location, in, Das, Shah, district,, Isfahan, province,, Iran","69.85, 37.04"
2021-05-05,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-05-06,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Chenaran, district,, Razavi, Khorasan, province,, Iran","69.85, 37.04"
2021-05-07,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-09,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-09,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bushehr, district,, Bushehr, province,, Iran","50.92710097, 28.91397523"
2021-05-10,1,,1,,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Isfahan, district,, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-05-14,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-17,1,,,,1,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-05-17,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-05-22,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-23,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-05-23,1,,,,1,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-05-23,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-05-24,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-24,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-05-27,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-27,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-27,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-05-28,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Gurak-e, Sadat, village,, Bushehr, province,, Iran","51.04776985, 28.94479556"
2021-05-29,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-06-01,1,,1,,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-06-01,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Ahvaz, district,, Khuzestan, province,, Iran","48.8702866, 31.3350096"
2021-06-01,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-06-01,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-06-02,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-02,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Beheshti, village,, Isfahan, province,, Iran","51.44519483, 34.03107046"
2021-06-03,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-06-04,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-06-05,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Manujan, district,, Kerman, province,, Iran","57.6697047, 27.2865905"
2021-06-05,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Manujan, district,, Kerman, province,, Iran","57.6697047, 27.2865905"
2021-06-05,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, between, Lar, and, Shiraz, cities,, Fars, province,, Iran","53.33652472, 28.72996721"
2021-06-05,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, city,, Shiraz, county,, Fars, province,, Iran","52.52233, 29.677621"
2021-06-06,1,,,1,,"Southern, Asia","Mixed, or, unknown","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-06-06,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Bul, Khair, village,, Bushehr, province,, Iran","51.100824, 28.533616"
2021-06-06,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Bul, Khair, village,, Bushehr, province,, Iran","51.100824, 28.533616"
2021-06-09,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-06-09,1,,,,1,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-06-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-06-05,1,,,1,,"Southern, Asia","Mixed, or, unknown","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-06-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-06-10,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-06-11,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Mirjaveh, district,, Sistan, &, Baluchestan, province,, Iran","61.1628427, 28.868884"
2021-06-11,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-06-12,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Shiraz,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-06-13,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Bandar-e-Abbas, county,, Hormozgan, Province,, Iran","56.23307736, 27.1892535"
2021-06-14,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Iranshahr, district,, Sistan, &, Baluchestan, province,, Iran","60.68482798, 27.21161534"
2021-06-15,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-06-16,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-06-17,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-06-17,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Bushehr, district,, Bushehr, province,, Iran","50.92710097, 28.91397523"
2021-06-19,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-20,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-24,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-24,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-24,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-06-24,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-06-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-06-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bushehr, district,, Bushehr, province,, Iran","50.92710097, 28.91397523"
2021-06-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-06-28,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-06-29,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Meybod, district,, Yazd, province,, Iran","54.079164, 32.213049"
2021-06-29,1,,,,1,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-06-30,1,,,1,,"Southern, Asia","Mixed, or, unknown","Afghanistan, to, Iran","Unspecified, location, in, Chenaran, district,, Razavi, Khorasan, province,, Iran","59.0964723, 36.8127762"
2021-07-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kish, district,, Hormozgan, province,, Iran","54.013255, 26.526372"
2021-07-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Chabahar, district,, Sistan, &, Baluchestan, province,, Iran","60.657897, 25.305077"
2021-07-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-07-01,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-07-01,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Rajaei,, Sistan, &, Baluchestan, province,, Iran","60.851173, 29.516516"
2021-07-02,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Larestan, district,, Fars, province,, Iran","54.312756, 27.673846"
2021-07-02,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Iranshahr, district,, Sistan, &, Baluchestan, province,, Iran","60.68482798, 27.21161534"
2021-07-02,1,,,1,,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-07-03,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-07-05,1,,,,1,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Afghanistan, to, Iran","Unspecified, location, in, Bushehr, district,, Bushehr, province,, Iran","50.92710097, 28.91397523"
